,Price,AskP0,AskPriceV5,AskV0,BidP0,BidPriceV5,BidV0,isadd3,isadd_ori,MedianBid,CountBid,MedianAsk,CountAsk,HighPrice,LowPrice,AskP0_delta,BidP0_delta,AskPriceV5_delte,BidPriceV5_delte
166,705.98,705.52,705.52,1200,705.49,705.29,100,0,0,705.98,1,705.52,1,705.98,705.52,-0.16,-0.14,-0.03,0
167,705.36,705.36,705.49,100,705.35,705.29,200,0,0,705.36,0,705.425,2,705.49,705.36,-0.01,-0.06,-0.14,0
168,705.35,705.35,705.35,800,705.29,705.29,800,0,0,705.35,2,705.29,3,705.35,705.29,-0.06,-0.08,0,-0.18
169,705.29,705.29,705.35,400,705.21,705.11,100,0,0,705.29,1,705.29,2,705.29,705.29,0,0,-0.06,-0.01
170,705.21,705.29,705.29,1400,705.21,705.1,100,0,0,705.21,3,705.2,5,705.29,705.1,0.02,-0.18,0.02,-0.08
171,705.03,705.31,705.31,4802,705.03,705.02,100,0,2,705.29,16,705.1,5,705.31,705.03,-0.21,0,-0.17,0
172,705.1,705.1,705.14,100,705.03,705.02,300,0,0,705.29,4,705.28,7,705.29,705.1,-0.07,-0.01,-0.04,-0.01
173,705.02,705.03,705.1,400,705.02,705.01,100,0,0,705.175,18,705.025,6,705.31,705.02,-0.03,-0.25,-0.08,-0.28
174,705,705,705.02,100,704.77,704.73,100,0,0,705.02,3,705,31,705.02,705,-0.01,0,-0.03,0
175,704.99,704.99,704.99,2500,704.77,704.73,200,0,0,704.99,3,704.99,0,704.99,704.99,-0.01,-0.05,-0.01,-0.26
176,704.98,704.98,704.98,5200,704.72,704.47,100,0,0,704.985,2,704.75,4,704.99,704.73,-0.21,0,0,0
177,704.72,704.77,704.98,300,704.72,704.47,100,0,1,704.73,4,704.72,2,704.98,704.72,-0.04,-0.17,-0.22,-0.46
178,704.72,704.73,704.76,200,704.55,704.01,100,0,0,704.725,2,704.5,5,704.73,704.37,-0.73,-0.67,-0.76,-0.32
