,AskOrder,BidOrder,BSFlags,FunctionCode,Date,Price,Time,Volume,Amount
2018-05-17 09:24:59.870,70651,96229,B,,20180517,735.12,92459870,5000,3675600.0
2018-05-17 09:24:59.870,76429,96229,B,,20180517,735.12,92459870,3000,2205360.0
2018-05-17 09:24:59.870,76429,62297,S,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,76429,62298,S,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,76429,62299,S,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,76429,27070,S,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,76429,27071,S,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,76429,65466,S,,20180517,735.12,92459870,1500,1102680.0
2018-05-17 09:24:59.870,76429,77976,B,,20180517,735.12,92459870,600,441072.0
2018-05-17 09:24:59.870,76429,82884,B,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,75069,82884,B,,20180517,735.12,92459870,200,147024.0
2018-05-17 09:24:59.870,75069,88461,B,,20180517,735.12,92459870,200,147024.0
2018-05-17 09:24:59.870,88947,91979,B,,20180517,735.12,92459870,300,220536.0
2018-05-17 09:24:59.870,88947,95217,B,,20180517,735.12,92459870,300,220536.0
2018-05-17 09:24:59.870,88947,96411,B,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,91525,96411,B,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,92382,96411,B,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,93166,97948,B,,20180517,735.12,92459870,200,147024.0
2018-05-17 09:24:59.870,95460,97948,B,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,95460,95186,S,,20180517,735.12,92459870,300,220536.0
2018-05-17 09:24:59.870,95460,71697,S,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,26136,75068,B,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,96944,75068,S,,20180517,735.12,92459870,700,514584.0
2018-05-17 09:24:59.870,26127,49015,B,,20180517,735.12,92459870,200,147024.0
2018-05-17 09:24:59.870,26129,88264,B,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,26129,98591,B,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,82577,26137,S,,20180517,735.12,92459870,800,588096.0
2018-05-17 09:24:59.870,82577,26138,S,,20180517,735.12,92459870,200,147024.0
2018-05-17 09:24:59.870,20058,26138,B,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,67253,26138,S,,20180517,735.12,92459870,100,73512.0
2018-05-17 09:24:59.870,78839,26138,S,,20180517,735.12,92459870,400,294048.0
2018-05-17 09:24:59.870,78839,75911,S,,20180517,735.12,92459870,400,294048.0
