,AskOrder,BidOrder,BSFlags,FunctionCode,Date,Price,Time,Volume,Amount
2018-05-11 09:24:59.650,103541,63713,S,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,105684,63713,S,,20180511,718.69,92459650,200,143738.0
2018-05-11 09:24:59.650,106637,63713,S,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,106464,63713,S,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,31856,63713,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,31857,63713,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,19098,63713,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,58709,63713,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,4449,63713,B,,20180511,718.69,92459650,600,431214.00000000006
2018-05-11 09:24:59.650,4449,64635,B,,20180511,718.69,92459650,700,503083.00000000006
2018-05-11 09:24:59.650,4449,72008,B,,20180511,718.69,92459650,300,215607.00000000003
2018-05-11 09:24:59.650,4449,73902,B,,20180511,718.69,92459650,200,143738.0
2018-05-11 09:24:59.650,4449,74525,B,,20180511,718.69,92459650,300,215607.00000000003
2018-05-11 09:24:59.650,4449,74854,B,,20180511,718.69,92459650,200,143738.0
2018-05-11 09:24:59.650,4449,75564,B,,20180511,718.69,92459650,400,287476.0
2018-05-11 09:24:59.650,4449,83593,B,,20180511,718.69,92459650,200,143738.0
2018-05-11 09:24:59.650,4449,84016,B,,20180511,718.69,92459650,400,287476.0
2018-05-11 09:24:59.650,4449,84498,B,,20180511,718.69,92459650,200,143738.0
2018-05-11 09:24:59.650,4449,85668,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,4449,87220,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,84733,87220,B,,20180511,718.69,92459650,200,143738.0
2018-05-11 09:24:59.650,84733,87719,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,85157,88230,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,85157,89751,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,83898,110649,B,,20180511,718.69,92459650,700,503083.00000000006
2018-05-11 09:24:59.650,85830,110649,B,,20180511,718.69,92459650,3300,2371677.0
2018-05-11 09:24:59.650,86713,110649,B,,20180511,718.69,92459650,200,143738.0
2018-05-11 09:24:59.650,87217,110649,B,,20180511,718.69,92459650,400,287476.0
2018-05-11 09:24:59.650,88023,110649,B,,20180511,718.69,92459650,100,71869.0
2018-05-11 09:24:59.650,88104,110649,B,,20180511,718.69,92459650,12,8624.28
