,AskOrder,BidOrder,BSFlags,FunctionCode,Date,Price,Time,Volume,Amount
2018-05-14 09:24:58.590,25799,25815,B,,20180514,724.0,92458590,200,144800.0
2018-05-14 09:24:58.590,25799,25816,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,25799,50955,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,25799,91020,B,,20180514,724.0,92458590,300,217200.0
2018-05-14 09:24:58.590,25799,93075,B,,20180514,724.0,92458590,400,289600.0
2018-05-14 09:24:58.590,25799,62354,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,25799,62355,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,25799,62356,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,25799,62357,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,25799,75118,B,,20180514,724.0,92458590,400,289600.0
2018-05-14 09:24:58.590,25799,53533,B,,20180514,724.0,92458590,200,144800.0
2018-05-14 09:24:58.590,95077,88771,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,6965,91491,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,6965,93458,B,,20180514,724.0,92458590,200,144800.0
2018-05-14 09:24:58.590,6965,95536,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,6965,96415,B,,20180514,724.0,92458590,300,217200.0
2018-05-14 09:24:58.590,6965,78271,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,6965,60866,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,6965,61385,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,6965,799,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,6965,51192,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,6965,89612,B,,20180514,724.0,92458590,700,506800.0
2018-05-14 09:24:58.590,87811,89612,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,78181,89612,B,,20180514,724.0,92458590,200,144800.0
2018-05-14 09:24:58.590,86627,89612,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,87851,89612,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,87851,90208,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,91502,90208,S,,20180514,724.0,92458590,200,144800.0
2018-05-14 09:24:58.590,86834,90208,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,33275,90208,B,,20180514,724.0,92458590,300,217200.0
2018-05-14 09:24:58.590,32419,90208,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,46216,90208,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,67341,90208,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,69565,90208,B,,20180514,724.0,92458590,3,2172.0
2018-05-14 09:24:58.590,73649,90208,B,,20180514,724.0,92458590,197,142628.0
2018-05-14 09:24:58.590,73649,90570,B,,20180514,724.0,92458590,3,2172.0
2018-05-14 09:24:58.590,85082,90570,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,83109,90570,B,,20180514,724.0,92458590,200,144800.0
2018-05-14 09:24:58.590,55306,90570,B,,20180514,724.0,92458590,600,434400.0
2018-05-14 09:24:58.590,66154,90570,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,70776,90570,B,,20180514,724.0,92458590,197,142628.0
2018-05-14 09:24:58.590,70776,94090,B,,20180514,724.0,92458590,403,291772.0
2018-05-14 09:24:58.590,72587,94090,B,,20180514,724.0,92458590,300,217200.0
2018-05-14 09:24:58.590,91883,94090,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,96271,94090,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,93768,94090,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,92177,94090,B,,20180514,724.0,92458590,197,142628.0
2018-05-14 09:24:58.590,92177,94354,B,,20180514,724.0,92458590,3,2172.0
2018-05-14 09:24:58.590,96815,94354,S,,20180514,724.0,92458590,379,274396.0
2018-05-14 09:24:58.590,93636,94354,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,93626,94354,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,8092,94354,B,,20180514,724.0,92458590,500,362000.0
2018-05-14 09:24:58.590,94060,94354,B,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,95890,94354,S,,20180514,724.0,92458590,18,13032.0
2018-05-14 09:24:58.590,95890,75569,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,95890,93714,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,95890,93098,S,,20180514,724.0,92458590,600,434400.0
2018-05-14 09:24:58.590,95890,93814,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,95890,62446,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,95890,63771,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,95890,95719,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,95890,93641,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,95890,85249,S,,20180514,724.0,92458590,100,72400.0
2018-05-14 09:24:58.590,95890,91755,S,,20180514,724.0,92458590,1300,941200.0
2018-05-14 09:24:58.590,95890,95387,S,,20180514,724.0,92458590,200,144800.0
2018-05-14 09:24:58.590,95890,96510,B,,20180514,724.0,92458590,200,144800.0
2018-05-14 09:24:58.590,95890,96108,B,,20180514,724.0,92458590,1882,1362568.0
